Violation,Issue Date,Time,Location,Fine Amount,
01Q,1/1/2015,1300,W UNION ST,30.00,
06A,1/1/2015,1354,41 S COURT ST,30.00,
06A,1/1/2015,1355,S.COURT,30.00,
16,1/1/2015,1916,S COURT ST,30.00,
01N,1/2/2015,2328,N COURT,30.00,
21,1/2/2015,0913,SOUTH COURT,10.00,
21,1/2/2015,0933,SOUTH COLLEGE,10.00,
21,1/2/2015,0943,PARKING GARAGE,10.00,
21,1/2/2015,0944,PARKING GARAGE,10.00,
21,1/2/2015,0946,PARKING GARAGE,10.00,
21,1/2/2015,0948,PARKING GARAGE,10.00,
21,1/2/2015,0949,PARKING GARAGE,10.00,
21,1/2/2015,0950,PARKING GARAGE,10.00,
21,1/2/2015,0951,PARKING GARAGE,10.00,
21,1/2/2015,0956,PARKING GARAGE,10.00,
21,1/2/2015,0958,PARKING GARAGE,10.00,
21,1/2/2015,1000,PARKING GARAGE,10.00,
21,1/2/2015,1028,WEST WASHINGTON,10.00,
21,1/2/2015,1031,WEST WASHINGTON,10.00,
21,1/2/2015,1033,NORTH COURT,10.00,
21,1/2/2015,1040,NORTH COURT,10.00,
07,1/2/2015,1308,EAST WASHINGTON,30.00,
21,1/2/2015,1317,SOUTH COURT,10.00,
,1/2/2015,1324,,0.00,
07,1/2/2015,1324,SOUTH COURT,30.00,
21,1/2/2015,1328,WEST UNION,10.00,
21,1/2/2015,1332,PRESIDENT,10.00,
,1/2/2015,1338,,0.00,
21,1/2/2015,1338,SOUTH COURT,10.00,
,1/2/2015,1339,,0.00,
21,1/2/2015,1345,SOUTH COLLEGE,10.00,
21,1/2/2015,1351,PARKING GARAGE,10.00,
21,1/2/2015,1355,PARKING GARAGE,10.00,
21,1/2/2015,1356,PARKING GARAGE,10.00,
21,1/2/2015,1401,PARKING GARAGE,10.00,
,1/2/2015,1403,,0.00,
21,1/2/2015,1403,PARKING GARAGE,10.00,
21,1/2/2015,1404,PARKING GARAGE,10.00,
21,1/2/2015,1406,PARKING GARAGE,10.00,
21,1/2/2015,1407,PARKING GARAGE,10.00,
21,1/2/2015,1408,PARKING GARAGE,10.00,
21,1/2/2015,1410,PARKING GARAGE,10.00,
,1/2/2015,1412,,0.00,
21,1/2/2015,1412,PARKING GARAGE,10.00,
21,1/2/2015,1420,WEST WASHINGTON,10.00,
21,1/2/2015,1421,WEST WASHINGTON,10.00,
21,1/2/2015,1423,WEST WASHINGTON,10.00,
21,1/2/2015,1427,NORTH COURT,10.00,
,1/2/2015,1432,,0.00,
21,1/2/2015,1432,NORTH COURT,10.00,
21,1/2/2015,1434,WEST STATE,10.00,
21,1/2/2015,1435,WEST STATE,10.00,
21,1/2/2015,1438,NORTH COURT,10.00,
21,1/2/2015,1440,NORTH COURT,10.00,
,1/2/2015,1444,,0.00,
21,1/2/2015,1444,NORTH COURT,10.00,
21,1/2/2015,1459,EAST STATE,10.00,
,1/2/2015,1501,,0.00,
21,1/2/2015,1501,MILL,10.00,
21,1/2/2015,1505,MILL,10.00,
,1/2/2015,1507,,0.00,
21,1/2/2015,1508,NORTH COLLEGE,10.00,
,1/2/2015,1509,,0.00,
01N,1/4/2015,0439,S CONGRESS,30.00,
01N,1/4/2015,0442,W UNION,30.00,
01N,1/4/2015,0445,S COUTR,30.00,
01N,1/4/2015,0447,S COURT,30.00,
01N,1/4/2015,0447,S COURT,30.00,
01N,1/4/2015,0448,S COURT,30.00,
01N,1/4/2015,0453,S COURT,30.00,
01N,1/4/2015,0454,S COURT,30.00,
01N,1/4/2015,0456,N COURT,30.00,
01N,1/4/2015,0457,N COURT,30.00,
01N,1/4/2015,0458,N COURT,30.00,
01N,1/4/2015,0500,N COURT,30.00,
01N,1/4/2015,0501,N COURT,30.00,
01N,1/4/2015,0503,N COURT,30.00,
01N,1/4/2015,0521,W WASHINGTON,30.00,
06B,1/5/2015,2112,W WASHINGTON,30.00,
01N,1/6/2015,1050,1012 COOK DR,30.00,
01N,1/6/2015,1050,1012 COOK DR,30.00,
21,1/6/2015,1409,SOUTH COLLEGE,10.00,
21,1/6/2015,1410,SOUTH COLLEGE,10.00,
21,1/6/2015,1414,SOUTH COURT,10.00,
21,1/6/2015,1416,SOUTH COURT,10.00,
21,1/6/2015,1425,SOUTH COURT,10.00,
21,1/6/2015,1432,WEST UNION,10.00,
21,1/6/2015,1442,PARKING GARAGE,10.00,
21,1/6/2015,1445,PARKING GARAGE,10.00,
21,1/6/2015,1447,PARKING GARAGE,10.00,
21,1/6/2015,1449,PARKING GARAGE,10.00,
21,1/6/2015,1450,PARKING GARAGE,10.00,
21,1/6/2015,1456,PARKING GARAGE,10.00,
21,1/6/2015,1503,PARKING GARAGE,10.00,
21,1/6/2015,1508,PARKING GARAGE,10.00,
21,1/6/2015,1509,PARKING GARAGE,10.00,
01N,1/7/2015,0502,N COURT,30.00,
01N,1/7/2015,0503,N COURT,30.00,
01N,1/7/2015,0504,N COURT,30.00,
01N,1/7/2015,0505,N COURT,30.00,
01N,1/7/2015,0506,N COURT,30.00,
21,1/7/2015,1124,NORTH COURT,10.00,
07,1/8/2015,1650,S CONGRESS,30.00,
07,1/8/2015,1657,S CONGRESS,30.00,
21,1/8/2015,1223,SOUTH COURT,10.00,
21,1/8/2015,1224,SOUTH COURT,10.00,
07,1/8/2015,1227,PRESIDENT,30.00,
01D,1/8/2015,1231,PRESIDENT,30.00,
21,1/8/2015,1235,WEST UNION,10.00,
21,1/8/2015,1244,SOUTH COURT,10.00,
07,1/9/2015,0114,UNION ST,30.00,
21,1/9/2015,1152,SOUTH COLLEGE,10.00,
21,1/9/2015,1154,SOUTH COLLEGE,10.00,
21,1/9/2015,1155,SOUTH COLLEGE,10.00,
21,1/9/2015,1200,SOUTH COURT,10.00,
07,1/9/2015,1203,SOUTH COURT,30.00,
21,1/9/2015,1111,SOUTH COURT,10.00,
21,1/9/2015,1120,SOUTH COURT,10.00,
,1/9/2015,1120,,0.00,
07,1/9/2015,1122,PRESIDENT,30.00,
07,1/9/2015,1129,WEST UNION,30.00,
21,1/9/2015,1134,WEST UNION,10.00,
21,1/9/2015,1137,SOUTH COURT,10.00,
,1/9/2015,1140,,0.00,
21,1/9/2015,1140,SOUTH COURT,10.00,
21,1/9/2015,1142,SOUTH COURT,10.00,
21,1/9/2015,1143,SOUTH COURT,10.00,
,1/9/2015,1603,,0.00,
01D,1/10/2015,1215,W STATE,30.00,
01Q,1/11/2015,0914,135 N CONGRESS,30.00,
01N,1/11/2015,1603,S CONGRESS,30.00,
01N,1/11/2015,1604,S CONGRESS,30.00,
01N,1/11/2015,1605,S CONGRESS,30.00,
21,1/12/2015,1810,PG,10.00,
21,1/12/2015,2002,PG,10.00,
01N,1/12/2015,1126,15 S HIGH,30.00,
01Q,1/12/2015,0753,5 SPRING ST,30.00,
21,1/12/2015,1905,PG,10.00,
21,1/12/2015,1806,PG,10.00,
21,1/12/2015,2007,PG,10.00,
01Q,1/12/2015,2226,E UNION,30.00,
16,1/12/2015,1903,S COURT,30.00,
21,1/13/2015,1807,GARAGE,10.00,
21,1/13/2015,2005,GARAGE,10.00,
21,1/13/2015,1806,GARAGE,10.00,
21,1/13/2015,2005,GARAGE,10.00,
21,1/13/2015,1209,SOUTH COURT,10.00,
21,1/13/2015,1210,SOUTH COURT,10.00,
07,1/13/2015,1211,SOUTH COURT,30.00,
21,1/13/2015,1215,EAST UNION,10.00,
21,1/13/2015,1218,UNIVERSITY TERRACE,10.00,
21,1/13/2015,1220,UNIVERSITY TERRACE,10.00,
21,1/13/2015,1221,UNIVERSITY TERRACE,10.00,
21,1/13/2015,1234,WEST UNION,10.00,
21,1/13/2015,1238,WEST UNION,10.00,
07,1/13/2015,1246,SOUTH COURT,30.00,
21,1/13/2015,1248,SOUTH COURT,10.00,
21,1/13/2015,1034,WEST WASHINGTON,10.00,
21,1/13/2015,1040,WEST STATE,10.00,
21,1/13/2015,1042,WEST STATE,10.00,
21,1/13/2015,1105,NORTH COLLEGE,10.00,
21,1/13/2015,1112,SOUTH COLLEGE,10.00,
21,1/13/2015,1115,SOUTH COLLEGE,10.00,
21,1/13/2015,1402,NORTH COLLEGE,10.00,
21,1/13/2015,1405,SOUTH COLLEGE,10.00,
21,1/13/2015,1407,SOUTH COLLEGE,10.00,
21,1/13/2015,1409,SOUTH COLLEGE,10.00,
21,1/13/2015,1413,SOUTH COLLEGE,10.00,
21,1/13/2015,1416,SOUTH COLLEGE,10.00,
21,1/13/2015,1420,PARKING GARAGE,10.00,
21,1/13/2015,1422,PARKING GARAGE,10.00,
21,1/13/2015,1425,PARKING GARAGE,10.00,
21,1/13/2015,1427,PARKING GARAGE,10.00,
,1/13/2015,1429,,0.00,
,1/13/2015,1430,,0.00,
21,1/13/2015,1431,PARKING GARAGE,10.00,
21,1/13/2015,1438,PARKING GARAGE,10.00,
21,1/13/2015,1439,PARKING GARAGE,10.00,
21,1/13/2015,1440,PARKING GARAGE,10.00,
21,1/13/2015,1446,PARKING GARAGE,10.00,
21,1/13/2015,1449,PARKING GARAGE,10.00,
21,1/13/2015,1451,PARKING GARAGE,10.00,
21,1/13/2015,1452,PARKING GARAGE,10.00,
21,1/13/2015,1512,PARKING GARAGE,10.00,
21,1/13/2015,1512,PARKING GARAGE,10.00,
21,1/13/2015,1515,PARKING GARAGE,10.00,
21,1/13/2015,1515,PARKING GARAGE,10.00,
21,1/13/2015,1517,PARKING GARAGE,10.00,
16,1/14/2015,2050,S COURT ST,30.00,
21,1/14/2015,0932,EAST UNION,10.00,
21,1/14/2015,0938,UNIVERSITY TERRACE,10.00,
21,1/14/2015,0945,MULBERRY,10.00,
21,1/14/2015,0950,SOUTH COURT,10.00,
21,1/14/2015,0954,SOUTH COURT,10.00,
21,1/14/2015,1001,SOUTH COURT,10.00,
21,1/14/2015,1249,SOUTH COLLEGE,10.00,
21,1/14/2015,1252,EAST UNION,10.00,
22B,1/14/2015,1252,EAST UNION,15.00,
07,1/14/2015,1254,EAST UNION,30.00,
21,1/14/2015,1257,EAST UNION,10.00,
21,1/14/2015,1304,UNIVERSITY TERRACE,10.00,
21,1/14/2015,1306,UNIVERSITY TERRACE,10.00,
21,1/14/2015,1306,UNIVERSITY TERRACE,10.00,
21,1/14/2015,1315,MULBERRY,10.00,
21,1/14/2015,1025,PARKING GARAGE,10.00,
21,1/14/2015,1029,PARKING GARAGE,10.00,
07,1/14/2015,1344,SOUTH COURT,30.00,
21,1/14/2015,1345,SOUTH COURT,10.00,
21,1/14/2015,1347,SOUTH COURT,10.00,
19,1/14/2015,1348,SOUTH COURT,30.00,
07,1/14/2015,1352,SOUTH CONGRESS,30.00,
07,1/14/2015,1354,SOUTH CONGRESS,30.00,
07,1/14/2015,1355,SOUTH CONGRESS,30.00,
21,1/14/2015,1400,SOUTH COURT,10.00,
21,1/14/2015,1402,SOUTH COURT,10.00,
21,1/14/2015,1405,SOUTH COURT,10.00,
21,1/14/2015,0913,NORTH COURT,10.00,
21,1/14/2015,0914,NORTH COURT,10.00,
21,1/14/2015,0917,WEST WASHINGTON,10.00,
21,1/14/2015,0923,WEST WASHINGTON,10.00,
,1/14/2015,0925,,0.00,
21,1/14/2015,0928,NORTH CONGRESS,10.00,
21,1/14/2015,0929,NORTH CONGRESS,10.00,
21,1/14/2015,0934,NORTH COURT,10.00,
21,1/14/2015,1139,NORTH COLLEGE,10.00,
21,1/14/2015,1146,NORTH COURT,10.00,
21,1/14/2015,1147,NORTH COURT,10.00,
21,1/14/2015,1149,NORTH COURT,10.00,
21,1/14/2015,1151,NORTH COURT,10.00,
21,1/14/2015,1157,NORTH COURT,10.00,
,1/14/2015,1200,,0.00,
22B,1/14/2015,1205,WEST WASHINGTON,15.00,
22B,1/14/2015,1212,NORTH CONGRESS,15.00,
21,1/14/2015,1213,NORTH CONGRESS,10.00,
21,1/14/2015,1216,WEST STATE,10.00,
21,1/14/2015,1222,NORTH COURT,10.00,
21,1/14/2015,1227,ARMORY,10.00,
21,1/14/2015,1236,EAST STATE,10.00,
21,1/14/2015,1237,EAST STATE,10.00,
21,1/14/2015,1242,NORTH COLLEGE,10.00,
21,1/14/2015,1515,NORTH COURT,10.00,
21,1/14/2015,1517,NORTH COURT,10.00,
,1/14/2015,1518,,0.00,
21,1/14/2015,1524,NORTH COURT,10.00,
21,1/14/2015,1526,NORTH COURT,10.00,
21,1/14/2015,1548,NORTH COLLEGE,10.00,
22B,1/14/2015,1550,NORTH COLLEGE,15.00,
21,1/15/2015,1801,PG,10.00,
21,1/15/2015,2002,PG,10.00,
21,1/15/2015,2005,PG,10.00,
21,1/15/2015,1805,PG,10.00,
21,1/15/2015,2005,PG,10.00,
21,1/15/2015,2006,PG,10.00,
21,1/15/2015,2007,PG,10.00,
01D,1/15/2015,1957,N COURT,30.00,
16,1/15/2015,2153,S COURT,30.00,
21,1/15/2015,1020,SOUTH COURT,10.00,
21,1/15/2015,1022,SOUTH COURT,10.00,
21,1/15/2015,1031,EAST UNION,10.00,
07,1/15/2015,1034,UNIVERSITY TERRACE,30.00,
07,1/15/2015,1035,UNIVERSITY TERRACE,30.00,
21,1/15/2015,1040,UNIVERSITY TERRACE,10.00,
21,1/15/2015,1042,UNIVERSITY TERRACE,10.00,
21,1/15/2015,1053,MULBERRY,10.00,
21,1/15/2015,1054,MULBERRY,10.00,
21,1/15/2015,1057,SOUTH COURT,10.00,
21,1/15/2015,1103,EAST UNION,10.00,
06B,1/15/2015,1103,EAST UNION,30.00,
07,1/15/2015,1104,EAST UNION,30.00,
21,1/15/2015,1110,SOUTH COLLEGE,10.00,
21,1/15/2015,1111,SOUTH COLLEGE,10.00,
21,1/15/2015,1309,EAST UNION,10.00,
21,1/15/2015,1310,EAST UNION,10.00,
22B,1/15/2015,1311,EAST UNION,15.00,
21,1/15/2015,1312,EAST UNION,10.00,
21,1/15/2015,1313,EAST UNION,10.00,
06B,1/15/2015,1316,UNIVERSITY TERRACE,30.00,
21,1/15/2015,1319,UNIVERSITY TERRACE,10.00,
22B,1/15/2015,1330,SOUTH COURT,15.00,
21,1/15/2015,1333,SOUTH COURT,10.00,
07,1/15/2015,1430,EAST UNION,30.00,
21,1/15/2015,0930,PARKING GARAGE,10.00,
21,1/15/2015,0938,PARKING GARAGE,10.00,
21,1/15/2015,0939,PARKING GARAGE,10.00,
21,1/15/2015,0940,PARKING GARAGE,10.00,
21,1/15/2015,0946,SOUTH CONGRESS,10.00,
21,1/15/2015,1005,WEST UNION,10.00,
07,1/15/2015,1009,SOUTH CONGRESS,30.00,
01Q,1/15/2015,1012,PRESIDENT,30.00,
21,1/15/2015,1013,PRESIDENT,10.00,
21,1/15/2015,1016,SOUTH COURT,10.00,
21,1/15/2015,1022,SOUTH COURT,10.00,
,1/15/2015,1158,,0.00,
21,1/15/2015,1204,SOUTH CONGRESS,10.00,
22B,1/15/2015,1206,SOUTH CONGRESS,15.00,
22B,1/15/2015,1209,WEST UNION,15.00,
22B,1/15/2015,1212,WEST UNION,15.00,
21,1/15/2015,1215,WEST UNION,10.00,
21,1/15/2015,1218,WEST UNION,10.00,
22B,1/15/2015,1220,WEST UNION,15.00,
22B,1/15/2015,1227,WEST UNION,15.00,
21,1/15/2015,1228,WEST UNION,10.00,
21,1/15/2015,1228,WEST UNION,10.00,
22B,1/15/2015,1233,PRESIDENT,15.00,
22B,1/15/2015,1235,SOUTH COURT,15.00,
22B,1/15/2015,1236,SOUTH COURT,15.00,
22B,1/15/2015,1239,WEST UNION,15.00,
21,1/15/2015,1244,SOUTH COURT,10.00,
22B,1/15/2015,1246,SOUTH COURT,15.00,
22B,1/15/2015,1248,SOUTH COURT,15.00,
21,1/15/2015,1248,SOUTH COURT,10.00,
21,1/15/2015,0915,NORTH COURT,10.00,
21,1/15/2015,0918,NORTH COURT,10.00,
21,1/15/2015,0923,WEST WASHINGTON,10.00,
21,1/15/2015,0925,WEST WASHINGTON,10.00,
21,1/15/2015,0926,WEST WASHINGTON,10.00,
21,1/15/2015,0930,NORTH CONGRESS,10.00,
21,1/15/2015,0932,NORTH CONGRESS,10.00,
21,1/15/2015,0933,NORTH CONGRESS,10.00,
21,1/15/2015,0935,NORTH CONGRESS,10.00,
21,1/15/2015,0936,NORTH CONGRESS,10.00,
21,1/15/2015,0938,WEST STATE,10.00,
21,1/15/2015,0943,NORTH COURT,10.00,
,1/15/2015,0950,,0.00,
21,1/15/2015,0952,CARPENTER,10.00,
21,1/15/2015,1026,EAST STATE,10.00,
21,1/15/2015,1232,EAST WASHINGTON,10.00,
21,1/15/2015,1236,NORTH COURT,10.00,
21,1/15/2015,1242,NORTH COURT,10.00,
,1/15/2015,1244,,0.00,
,1/15/2015,1245,,0.00,
21,1/15/2015,1247,WEST WASHINGTON,10.00,
22B,1/15/2015,1250,NORTH CONGRESS,15.00,
21,1/15/2015,1250,NORTH CONGRESS,10.00,
22B,1/15/2015,1252,NORTH CONGRESS,15.00,
21,1/15/2015,1252,NORTH CONGRESS,10.00,
21,1/15/2015,1255,WEST STATE,10.00,
21,1/15/2015,1258,WEST STATE,10.00,
21,1/15/2015,1305,CARPENTER,10.00,
21,1/15/2015,1328,NORTH COURT,10.00,
21,1/15/2015,1329,NORTH COURT,10.00,
21,1/15/2015,1332,EAST STATE,10.00,
21,1/15/2015,1525,NORTH COLLEGE,10.00,
21,1/15/2015,1528,EAST WASHINGTON,10.00,
21,1/15/2015,1533,WEST WASHINGTON,10.00,
21,1/15/2015,1536,NORTH COURT,10.00,
21,1/15/2015,1538,WEST STATE,10.00,
21,1/15/2015,1556,EAST STATE,10.00,
21,1/15/2015,1559,NORTH COLLEGE,10.00,
,1/15/2015,1600,,0.00,
21,1/16/2015,1801,PG,10.00,
21,1/16/2015,1802,PG,10.00,
21,1/16/2015,2011,PG,10.00,
01Q,1/16/2015,0800,98 FRANKLIN,30.00,
21,1/16/2015,1805,PG,10.00,
21,1/16/2015,1806,PG,10.00,
21,1/16/2015,1807,PG,10.00,
21,1/16/2015,1809,PG,10.00,
21,1/16/2015,2005,PARKING GARAGE,10.00,
21,1/16/2015,2006,PG,10.00,
21,1/16/2015,2010,PG,10.00,
01N,1/16/2015,1558,S CONGRESS,30.00,
21,1/16/2015,1151,EAST UNION,10.00,
07,1/16/2015,1152,EAST UNION,30.00,
21,1/16/2015,1153,EAST UNION,10.00,
21,1/16/2015,1155,EAST UNION,10.00,
21,1/16/2015,1158,UNIVERSITY TERRACE,10.00,
21,1/16/2015,1159,UNIVERSITY TERRACE,10.00,
21,1/16/2015,1201,UNIVERSITY TERRACE,10.00,
21,1/16/2015,1209,MULBERRY,10.00,
21,1/16/2015,1212,SOUTH COURT,10.00,
21,1/16/2015,1217,SOUTH COURT,10.00,
21,1/16/2015,1530,SOUTH COURT,10.00,
21,1/16/2015,1531,SOUTH COURT,10.00,
21,1/16/2015,1541,SOUTH COLLEGE,10.00,
21,1/16/2015,1543,SOUTH COLLEGE,10.00,
21,1/16/2015,0946,WEST UNION,10.00,
21,1/16/2015,0947,WEST UNION,10.00,
21,1/16/2015,0948,WEST UNION,10.00,
21,1/16/2015,0952,WEST UNION,10.00,
21,1/16/2015,0956,WEST UNION,10.00,
21,1/16/2015,0959,WEST UNION,10.00,
21,1/16/2015,1005,PRESIDENT,10.00,
21,1/16/2015,1011,SOUTH COURT,10.00,
22B,1/16/2015,1217,WEST UNION,15.00,
21,1/16/2015,1218,WEST UNION,10.00,
22B,1/16/2015,1222,WEST UNION,15.00,
21,1/16/2015,1223,WEST UNION,10.00,
22B,1/16/2015,1225,WEST UNION,15.00,
22B,1/16/2015,1226,WEST UNION,15.00,
21,1/16/2015,1230,WEST UNION,10.00,
21,1/16/2015,1233,WEST UNION,10.00,
22B,1/16/2015,1234,WEST UNION,15.00,
21,1/16/2015,1235,WEST UNION,10.00,
21,1/16/2015,1239,PRESIDENT,10.00,
21,1/16/2015,1240,PRESIDENT,10.00,
07,1/16/2015,1243,SOUTH COURT,30.00,
22B,1/16/2015,1246,SOUTH COURT,15.00,
22B,1/16/2015,1247,WEST UNION,15.00,
21,1/16/2015,1247,WEST UNION,10.00,
21,1/16/2015,1248,WEST UNION,10.00,
22B,1/16/2015,1253,SOUTH COURT,15.00,
22B,1/16/2015,1255,SOUTH COURT,15.00,
21,1/16/2015,0936,NORTH COLLEGE,10.00,
21,1/16/2015,1003,NORTH COLLEGE,10.00,
21,1/16/2015,1008,NORTH COURT,10.00,
21,1/16/2015,1014,WEST WASHINGTON,10.00,
21,1/16/2015,1015,WEST WASHINGTON,10.00,
21,1/16/2015,1019,NORTH CONGRESS,10.00,
19,1/16/2015,1322,NORTH COLLEGE,30.00,
21,1/16/2015,1325,EAST WASHINGTON,10.00,
21,1/16/2015,1331,NORTH COURT,10.00,
,1/16/2015,1337,,0.00,
22B,1/16/2015,1337,WEST WASHINGTON,15.00,
21,1/16/2015,1337,WEST WASHINGTON,10.00,
21,1/16/2015,1340,NORTH CONGRESS,10.00,
21,1/16/2015,1345,WEST STATE,10.00,
21,1/16/2015,1406,NORTH COURT,10.00,
21,1/16/2015,1410,MILL,10.00,
01Q,1/17/2015,1720,FORT/FRANKLIN,30.00,
01Q,1/17/2015,1721,FORT/FRANKLIN,30.00,
07,1/17/2015,1217,FAIR GRD,30.00,
07,1/17/2015,1219,FAIR GRDS,30.00,
07,1/17/2015,1220,FAIR GDS,30.00,
07,1/17/2015,1220,FAIR GRD,30.00,
07,1/17/2015,1222,FAIR GRD,30.00,
07,1/17/2015,1223,FAIR GRD,30.00,
07,1/17/2015,1224,FAIR GRDS,30.00,
21,1/17/2015,1253,SOUTH COLLEGE,10.00,
21,1/17/2015,1254,SOUTH COLLEGE,10.00,
21,1/17/2015,1255,SOUTH COLLEGE,10.00,
21,1/17/2015,1256,SOUTH COLLEGE,10.00,
21,1/17/2015,1257,SOUTH COLLEGE,10.00,
01Q,1/17/2015,1258,EAST UNION,30.00,
07,1/17/2015,1300,EAST UNION,30.00,
21,1/17/2015,1302,EAST UNION,10.00,
21,1/17/2015,1310,SOUTH COURT,10.00,
21,1/17/2015,1311,SOUTH COURT,10.00,
21,1/17/2015,1313,PRESIDENT,10.00,
21,1/17/2015,1314,SOUTH CONGRESS,10.00,
21,1/17/2015,1319,SOUTH COURT,10.00,
21,1/17/2015,1320,SOUTH COURT,10.00,
21,1/17/2015,1321,SOUTH COURT,10.00,
21,1/17/2015,1326,UNIVERSITY TERRACE,10.00,
21,1/17/2015,1327,UNIVERSITY TERRACE,10.00,
21,1/17/2015,1328,UNIVERSITY TERRACE,10.00,
21,1/17/2015,1329,UNIVERSITY TERRACE,10.00,
21,1/17/2015,1331,UNIVERSITY TERRACE,10.00,
21,1/17/2015,1332,UNIVERSITY TERRACE,10.00,
21,1/17/2015,1333,EAST UNION,10.00,
21,1/17/2015,1334,EAST UNION,10.00,
21,1/17/2015,1334,EAST UNION,10.00,
21,1/17/2015,1337,SOUTH COLLEGE,10.00,
21,1/17/2015,1344,LASH,10.00,
21,1/17/2015,1346,EAST STATE,10.00,
21,1/17/2015,1347,EAST STATE,10.00,
21,1/17/2015,1348,EAST STATE,10.00,
21,1/17/2015,1349,EAST STATE,10.00,
21,1/17/2015,1351,EAST STATE,10.00,
21,1/17/2015,1354,EAST STATE,10.00,
21,1/17/2015,1358,NORTH CONGRESS,10.00,
21,1/17/2015,1359,NORTH CONGRESS,10.00,
21,1/17/2015,1400,NORTH CONGRESS,10.00,
21,1/17/2015,1402,NORTH CONGRESS,10.00,
21,1/17/2015,1403,NORTH CONGRESS,10.00,
21,1/17/2015,1405,WEST WASHINGTON,10.00,
01N,1/18/2015,0423,N CONGRESS,30.00,
01N,1/18/2015,0434,W WASHINGTON,30.00,
01N,1/18/2015,0436,N COURT,30.00,
01N,1/18/2015,0437,N COURT,30.00,
01N,1/18/2015,0437,N COURT,30.00,
01N,1/18/2015,0438,N COURT,30.00,
01N,1/18/2015,0439,N COURT,30.00,
01N,1/18/2015,0443,N COURT,30.00,
01N,1/18/2015,0444,N COURT,30.00,
01N,1/18/2015,0452,N COURT,30.00,
01N,1/18/2015,0454,N COURT,30.00,
01N,1/18/2015,0450,N COURT,30.00,
01N,1/18/2015,0457,N COURT,30.00,
01N,1/18/2015,0459,N COURT,30.00,
01N,1/18/2015,0500,N COURT,30.00,
01N,1/18/2015,0506,W STATE,30.00,
01N,1/18/2015,0507,W STATE,30.00,
01N,1/18/2015,0508,W STATE,30.00,
01N,1/18/2015,1531,11 N COLLEGE,30.00,
16,1/19/2015,1820,S COURT,30.00,
21,1/20/2015,1427,EAST WASHINGTON,10.00,
21,1/20/2015,1436,SOUTH COURT,10.00,
21,1/20/2015,1441,EAST UNION,10.00,
21,1/20/2015,1443,SOUTH COURT,10.00,
21,1/20/2015,1447,SOUTH COURT,10.00,
21,1/20/2015,1450,SOUTH COURT,10.00,
21,1/20/2015,1509,SOUTH COURT,10.00,
21,1/20/2015,1513,WEST WASHINGTON,10.00,
21,1/20/2015,1516,NORTH COURT,10.00,
21,1/20/2015,1518,NORTH COURT,10.00,
21,1/20/2015,1519,WEST STATE,10.00,
,1/20/2015,1545,,0.00,
01Q,1/21/2015,1215,FRANKLIN/MERKLE,30.00,
01Q,1/21/2015,1225,GROSVENOR,30.00,
01Q,1/21/2015,1229,GROSVENOR/FORT,30.00,
21,1/21/2015,1003,SOUTH CONGRESS,10.00,
21,1/21/2015,1015,NORTH COURT,10.00,
21,1/21/2015,1018,CARPENTER,10.00,
21,1/21/2015,1037,EAST STATE,10.00,
21,1/21/2015,1039,LASH,10.00,
21,1/21/2015,0930,SOUTH COURT,10.00,
21,1/21/2015,0932,SOUTH COURT,10.00,
21,1/21/2015,1004,SOUTH COURT,10.00,
21,1/21/2015,1006,SOUTH COURT,10.00,
21,1/21/2015,1022,EAST UNION,10.00,
21,1/21/2015,1024,UNIVERSITY TERRACE,10.00,
21,1/21/2015,1025,UNIVERSITY TERRACE,10.00,
21,1/21/2015,1027,UNIVERSITY TERRACE,10.00,
21,1/21/2015,1035,MULBERRY,10.00,
07,1/21/2015,1042,SOUTH CONGRESS,30.00,
21,1/21/2015,1045,WEST UNION,10.00,
21,1/21/2015,1049,WEST UNION,10.00,
21,1/21/2015,1054,WEST UNION,10.00,
21,1/21/2015,1059,WEST UNION,10.00,
21,1/21/2015,1117,SOUTH COURT,10.00,
21,1/21/2015,1120,SOUTH COURT,10.00,
07,1/21/2015,1223,SOUTH COURT,30.00,
21,1/21/2015,1227,SOUTH COURT,10.00,
21,1/21/2015,1234,UNIVERSITY TERRACE,10.00,
21,1/21/2015,1236,UNIVERSITY TERRACE,10.00,
21,1/21/2015,1239,UNIVERSITY TERRACE,10.00,
07,1/21/2015,1251,SOUTH COURT,30.00,
07,1/21/2015,1309,SOUTH CONGRESS,30.00,
21,1/21/2015,1331,SOUTH COURT,10.00,
21,1/22/2015,1801,PG,10.00,
21,1/22/2015,1804,PG,10.00,
21,1/22/2015,1810,PG,10.00,
21,1/22/2015,2001,PG,10.00,
21,1/22/2015,2002,PG,10.00,
21,1/22/2015,2006,PG,10.00,
21,1/22/2015,1805,PG,10.00,
21,1/22/2015,2005,PG,10.00,
21,1/22/2015,2006,PG,10.00,
21,1/22/2015,1343,EAST STATE,10.00,
21,1/22/2015,1348,WEST STATE,10.00,
21,1/22/2015,1352,NORTH CONGRESS,10.00,
21,1/22/2015,1353,NORTH CONGRESS,10.00,
21,1/22/2015,1356,WEST WASHINGTON,10.00,
21,1/22/2015,1357,WEST WASHINGTON,10.00,
21,1/22/2015,1358,WEST WASHINGTON,10.00,
21,1/22/2015,1400,SOUTH CONGRESS,10.00,
21,1/22/2015,1408,SOUTH COLLEGE,10.00,
21,1/22/2015,1041,SOUTH COURT,10.00,
21,1/22/2015,1044,SOUTH COURT,10.00,
